Name	Code	viewcropbaseurl	viewcrop_url	datasheetbaseurl	datasheet_url
Abelmoschus esculentus	289	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=289	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=289
Abelmoschus manihot	290	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=290	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=290
Abelmoschus moschatus	291	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=291	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=291
Acacia auriculiformis	295	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=295	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=295
Acacia farnesiana	297	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=297	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=297
Acacia holosericea	298	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=298	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=298
Acacia mellifera	299	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=299	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=299
Adenanthera pavonina	318	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=318	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=318
Aeschynomene americana	326	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=326	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=326
Agathis australis	329	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=329	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=329
Agathis macrophylla	331	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=	http://ecocrop.fao.org/ecocrop/srv/en/cropView?id=331	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=	http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=331
